timestamp,symbol,mempool_congestion_score,mempool_trend,mempool_volatility,fee_pressure_score,fee_trend,fee_volatility,network_activity_score,network_trend,network_volatility,block_production_rate,block_size_trend,block_weight_trend,market_structure_score,liquidity_score,volatility_score
2025-09-25T20:53:57.691785+00:00,BTC/USDT,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0
2025-09-25T20:53:57.691785+00:00,BTC/USDT,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0
2025-09-25T20:59:38.782427+00:00,BTC/USDT,1.0,-23367.00000000003,16522.964155986057,0.1,-7.850462293418875e-17,0.0,1.0,-3.891868065584197e-07,0.0,10.554379266728754,-2.3919826124029546e-10,-1.0975835353383669e-09,0.73,0.0,0.550765471866202
2025-09-25T20:53:57.691785+00:00,BTC/USDT,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0
2025-09-25T20:53:57.691785+00:00,BTC/USDT,1.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0
2025-09-25T20:59:38.782427+00:00,BTC/USDT,1.0,-23367.00000000003,16522.964155986057,0.1,-7.850462293418875e-17,0.0,1.0,-3.891868065584197e-07,0.0,10.554379266728754,-2.391982612402954e-10,-1.0975835353383667e-09,0.73,0.0,0.550765471866202
2025-09-25T21:19:31.401984+00:00,BTC/USDT,1.0,-5000.099999999975,11028.7588716954,0.1,-8.214889951798643e-17,0.0,1.0,5788.499999900985,9647.5,7.041747526385198,-1683.299999999992,-74.99999999947303,0.73,0.0,0.3997836290565133
2025-09-25T21:27:16.746330+00:00,BTC/USDT,1.0,-4532.500000000008,13914.138852261034,0.1,1.0992982082905543e-17,0.0,1.0,3647.5119046403343,11759.345267700919,12.60595918356995,1418.2619047619041,10.369047618674703,0.73,0.0,0.5030024459677042
2025-09-25T21:39:48.898503+00:00,BTC/USDT,1.0,-4567.516666666665,14766.082888197232,0.1,6.633138920230202e-17,0.0,1.0,4141.766666706206,13567.641435087791,10.468133787102799,2266.1166666667787,27.016666666636876,0.73,0.0,0.5374282343902004
2025-09-25T21:52:47.113420+00:00,BTC/USDT,1.0,-3060.987878787875,14003.489084669021,0.1,1.6054209807821413e-17,0.0,1.0,4376.000000033073,15038.052332518182,9.179974327436796,-9160.109090909087,17.109090909155384,0.73,0.0,0.5169098105973613
2025-09-25T22:19:49.641633+00:00,BTC/USDT,1.0,-1991.609090909088,13437.178537719346,0.3,0.0909090909090909,0.6030226891555273,1.0,4448.172727302869,16228.582953318115,6.98764566079293,-17271.54545454544,17.018181818220878,0.79,0.0,0.5060213790294088
2025-09-25T22:40:42.355965+00:00,BTC/USDT,1.0,-2130.4055944055963,13576.277638408532,0.3,0.13986013986013987,0.778498944161523,1.0,4318.727272726268,16874.727250769974,6.182993969248206,-21286.930069930095,16.311188811113887,0.79,0.0,0.5139816717439277
2025-09-25T22:53:27.951017+00:00,BTC/USDT,1.0,-1267.1703296703245,13441.12474117,0.4,0.1978021978021978,1.0500305245868342,1.0,4098.115384651328,17210.114667223294,6.024886772183024,-23012.04395604397,15.346153846197804,0.8200000000000001,0.0,0.5124047437603232
2025-09-25T23:20:04.687457+00:00,BTC/USDT,1.0,-1582.0747252747317,13965.309498346802,0.1,0.14285714285714288,1.0190493307301363,1.0,4281.384615344173,19010.8189399939,5.338202703746014,-19718.885714285756,7.8153846152740725,0.73,0.0,0.5356733752830739
2025-09-25T23:39:51.639885+00:00,BTC/USDT,1.0,-1773.7107142857117,14371.145691810312,0.1,0.10357142857142856,0.990430401872025,1.0,4489.400000023447,21084.92034200204,5.0633175392988035,-51928.26071428566,-82784.90000000002,0.73,0.0,0.5559241268794973
2025-09-25T23:53:10.513354+00:00,BTC/USDT,1.0,-1816.8191176470532,14458.573053007916,0.1,0.07500000000000002,0.963932916061417,1.0,4727.622058866105,23480.34228730848,5.021937698257736,-43885.513235294056,-63308.26323529404,0.73,0.0,0.566646462165035
2025-09-26T01:45:25.577806+00:00,BTC/USDT,1.0,-1790.759803921568,14411.888355471958,0.1,0.053921568627451,0.9393364366277243,1.0,5592.252450986814,30573.000491711253,3.293708566651917,-34314.71568627445,-48702.72303921556,0.73,0.0,0.5885685230656209
2025-09-26T02:52:59.415133+00:00,BTC/USDT,1.0,-1777.6171310629472,14443.167415658243,0.1,0.038183694530443756,0.9164438231805327,1.0,6682.444788453025,39780.535460936466,2.840998327354436,-26716.968008255924,-37592.243550051484,0.73,0.0,0.6201503242129333
2025-09-26T03:34:10.741972+00:00,BTC/USDT,1.0,-1795.657894736845,14633.021875956525,0.1,0.026315789473684206,0.8950807732508138,1.0,7496.559649117613,46809.80860400798,2.6985326518444928,-22954.128070175528,-29060.949122806956,0.73,0.0,0.6497672963669162
2025-09-26T03:54:39.639175+00:00,BTC/USDT,1.0,-1653.821052631578,14355.41759241547,0.1,0.017293233082706763,0.8750939799154207,1.0,8055.592481180051,52218.29704131241,2.709775079679381,-19884.71428571435,-22430.135338345914,0.73,0.0,0.6584088697509931
2025-09-26T04:27:29.056010+00:00,BTC/USDT,1.0,-1246.8402597402596,14320.289213127611,0.1,0.010389610389610386,0.8563488385776753,1.0,8596.31038959966,57870.91931581131,2.645953337901786,-10433.359740259757,-17223.466233766183,0.73,0.0,0.6759550304141425
